Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
Dejounte Murray,PG,24,SAS,20,20,30.8,6.2,13.6,.456,1.0,3.2,.302,5.3,10.5,.502,.491,1.7,2.2,.767,0.7,6.5,7.2,5.3,1.4,0.1,1.8,2.3,15.0
Jamal Murray,PG,23,DEN,18,18,35.0,7.2,15.7,.456,2.1,6.0,.352,5.1,9.7,.520,.523,2.6,3.3,.783,0.8,3.2,4.0,4.4,1.1,0.3,1.9,2.3,19.1
Mike Muscala,C,29,OKC,17,0,17.9,3.2,7.3,.435,2.1,5.5,.372,1.1,1.8,.633,.577,0.7,0.8,.857,0.4,2.6,3.1,0.6,0.3,0.4,0.6,1.6,9.1
Sviatoslav Mykhailiuk,SF,23,DET,20,0,14.2,2.0,5.5,.367,1.4,4.3,.314,0.7,1.2,.565,.491,1.1,1.2,.875,0.2,1.4,1.6,1.3,0.6,0.2,0.5,0.8,6.4
Abdel Nader,SF,27,PHO,7,0,18.6,2.9,6.4,.444,1.0,2.3,.438,1.9,4.1,.448,.522,1.4,1.7,.833,0.0,3.6,3.6,1.3,0.4,0.1,0.6,1.3,8.1
Larry Nance Jr.,PF,28,CLE,17,16,34.1,3.9,8.2,.482,1.4,3.6,.387,2.5,4.5,.558,.568,0.7,1.2,.571,1.4,5.0,6.4,3.3,2.2,0.5,1.5,2.1,10.0
Aaron Nesmith,SF,21,BOS,9,0,12.8,1.3,4.1,.324,1.0,3.2,.310,0.3,0.9,.375,.446,0.0,0.0,0,0.3,1.3,1.7,0.4,0.0,0.2,0.8,1.8,3.7
Raul Neto,PG,28,WAS,14,5,17.8,3.2,6.9,.469,1.2,3.0,.405,2.0,3.9,.519,.557,0.4,0.6,.667,0.6,1.2,1.8,1.6,1.0,0.1,0.8,1.4,8.1
Georges Niang,PF,27,UTA,19,0,11.8,1.8,4.4,.405,0.9,2.8,.333,0.8,1.6,.533,.512,0.1,0.1,1.000,0.3,2.1,2.3,0.5,0.2,0.1,0.8,1.3,4.6
Zeke Nnaji,PF,20,DEN,8,0,2.4,0.4,0.9,.429,0.0,0.3,.000,0.4,0.6,.600,.429,0.0,0.0,0,0.1,0.4,0.5,0.0,0.0,0.0,0.0,0.3,0.8
Nerlens Noel,C,26,NYK,18,0,16.8,1.3,2.5,.511,0.0,0.1,.000,1.3,2.4,.523,.511,0.6,0.9,.588,1.6,3.7,5.2,0.4,1.0,1.6,1.0,1.8,3.1
Jaylen Nowell,SG,21,MIN,4,0,14.8,2.8,5.8,.478,1.0,3.3,.308,1.8,2.5,.700,.565,1.8,2.0,.875,0.5,1.0,1.5,1.3,0.3,0.3,1.3,1.8,8.3
Frank Ntilikina,PG,22,NYK,4,0,10.5,1.5,3.5,.429,1.3,2.3,.556,0.3,1.3,.200,.607,0.3,0.8,.333,0.3,0.8,1.0,0.8,0.8,0.0,0.5,1.8,4.5
Kendrick Nunn,PG,25,MIA,13,2,25.7,4.8,10.5,.460,1.4,4.5,.310,3.5,6.1,.570,.526,1.0,1.2,.867,0.4,2.6,3.0,2.5,0.9,0.2,1.8,1.5,12.1
Jusuf Nurkić,C,26,POR,12,12,23.3,4.2,8.6,.485,0.3,1.0,.250,3.9,7.6,.516,.500,1.3,2.3,.556,1.9,5.8,7.7,2.8,0.9,0.9,1.9,2.8,9.8
David Nwaba,SF,28,HOU,17,8,22.6,3.4,7.1,.475,0.6,2.3,.282,2.7,4.8,.568,.521,1.2,1.9,.656,1.1,2.1,3.1,1.3,1.2,0.6,0.5,2.1,8.6
Jordan Nwora,SF,22,MIL,9,0,8.0,1.8,3.6,.500,0.8,1.6,.500,1.0,2.0,.500,.609,1.0,1.1,.900,0.1,1.6,1.7,0.0,0.4,0.1,0.9,1.0,5.3
Royce O'Neale,SF,27,UTA,19,19,32.4,2.6,5.5,.471,1.7,3.9,.440,0.8,1.5,.552,.630,0.9,1.1,.810,1.1,5.5,6.6,2.4,0.6,0.6,0.9,2.6,7.8
Semi Ojeleye,PF,26,BOS,17,1,17.9,1.7,4.2,.408,1.0,2.8,.362,0.7,1.4,.500,.528,0.9,1.2,.714,0.6,2.4,3.0,0.7,0.1,0.0,0.5,1.0,5.3
Jahlil Okafor,C,25,DET,12,0,10.0,2.1,3.5,.595,0.0,0.3,.000,2.1,3.3,.641,.595,0.1,0.2,.500,1.1,1.2,2.3,0.3,0.2,0.2,0.3,0.8,4.3
Chuma Okeke,PF,22,ORL,5,0,18.2,1.0,2.8,.357,0.4,1.4,.286,0.6,1.4,.429,.429,0.6,1.2,.500,1.0,1.6,2.6,1.6,0.6,0.2,0.6,0.4,3.0
Josh Okogie,SG,22,MIN,12,11,22.3,2.1,5.0,.417,0.3,2.0,.167,1.8,3.0,.583,.450,1.1,1.4,.765,0.7,1.9,2.6,1.4,0.8,0.6,0.9,2.3,5.6
Onyeka Okongwu,C,20,ATL,5,1,12.0,1.6,3.0,.533,0.0,0.0,0,1.6,3.0,.533,.533,0.4,1.0,.400,1.0,2.6,3.6,0.4,0.4,1.2,0.6,1.4,3.6
Isaac Okoro,SG,20,CLE,14,14,35.8,2.9,7.2,.396,0.8,2.7,.289,2.1,4.5,.460,.450,1.7,2.5,.686,1.1,1.4,2.4,2.1,1.3,0.4,1.5,2.9,8.2
KZ Okpala,PF,21,MIA,12,5,13.7,1.0,2.6,.387,0.6,1.6,.368,0.4,1.0,.417,.500,0.2,0.5,.333,0.3,1.3,1.7,0.5,0.3,0.2,0.6,1.6,2.8
Victor Oladipo,SG,28,TOT,15,15,33.1,7.5,18.1,.417,2.7,7.8,.342,4.9,10.3,.474,.491,3.1,4.2,.730,0.1,5.3,5.4,4.6,1.5,0.4,2.2,2.4,20.8
Victor Oladipo,SG,28,IND,9,9,33.3,7.1,16.9,.421,2.8,7.7,.362,4.3,9.2,.470,.503,3.0,4.1,.730,0.1,5.6,5.7,4.2,1.7,0.2,2.0,2.6,20.0
Victor Oladipo,SG,28,HOU,6,6,32.8,8.2,19.8,.412,2.5,8.0,.313,5.7,11.8,.479,.475,3.2,4.3,.731,0.2,4.8,5.0,5.2,1.2,0.7,2.5,2.2,22.0
Kelly Olynyk,C,29,MIA,18,13,26.5,3.6,8.6,.416,2.1,6.3,.327,1.5,2.3,.659,.536,0.4,0.6,.727,0.8,4.4,5.2,2.6,0.9,0.7,1.6,2.4,9.6
Miye Oni,SG,23,UTA,14,0,8.1,0.4,1.4,.263,0.4,1.1,.313,0.0,0.2,.000,.395,0.1,0.1,.500,0.4,1.4,1.8,0.4,0.0,0.3,0.3,1.0,1.1
Cedi Osman,SF,25,CLE,19,12,29.7,4.6,12.0,.386,2.5,6.8,.362,2.2,5.2,.418,.489,1.2,1.6,.733,0.5,2.8,3.3,3.3,0.9,0.2,1.4,2.6,12.9
Daniel Oturu,C,21,LAC,10,0,4.2,0.9,1.5,.600,0.0,0.1,.000,0.9,1.4,.643,.600,0.2,0.2,1.000,0.5,0.9,1.4,0.4,0.0,0.3,0.2,0.6,2.0
Kelly Oubre Jr.,SF,25,GSW,20,20,27.7,4.4,11.7,.372,1.2,5.1,.228,3.2,6.7,.481,.421,2.2,2.9,.741,1.3,4.3,5.6,1.3,1.2,0.9,1.5,2.3,12.0
Eric Paschall,PF,24,GSW,19,2,17.7,3.9,8.1,.487,0.5,1.5,.310,3.5,6.6,.528,.516,1.8,2.4,.778,0.9,2.1,3.0,1.4,0.2,0.1,0.6,1.8,10.2
Anžejs Pasečņiks,C,25,WAS,1,0,6.0,0.0,1.0,.000,0.0,1.0,.000,0.0,0.0,0,.000,0.0,0.0,0,1.0,0.0,1.0,1.0,0.0,0.0,5.0,2.0,0.0
Patrick Patterson,PF,31,LAC,7,0,12.6,1.1,3.4,.333,0.9,2.9,.300,0.3,0.6,.500,.458,0.4,0.6,.750,0.4,1.0,1.4,0.6,0.4,0.0,0.9,1.3,3.6
Chris Paul,PG,35,PHO,18,18,32.6,5.8,12.8,.450,1.0,3.3,.300,4.8,9.5,.503,.489,3.1,3.2,.965,0.6,3.9,4.6,8.7,1.2,0.2,2.5,2.9,15.6
Cameron Payne,PG,26,PHO,13,0,17.5,2.5,5.5,.458,0.8,2.2,.379,1.7,3.3,.512,.535,0.7,0.7,1.000,0.2,2.0,2.2,3.9,0.6,0.2,1.2,2.2,6.6
Elfrid Payton,PG,26,NYK,20,20,28.7,4.9,11.5,.424,0.5,2.0,.256,4.4,9.5,.458,.445,1.5,2.1,.707,1.2,2.5,3.7,3.8,0.7,0.2,2.1,2.3,11.7
Reggie Perry,PF,20,BRK,13,0,10.8,1.6,3.8,.420,0.2,0.8,.182,1.5,3.0,.487,.440,0.5,0.7,.667,1.3,2.5,3.8,0.8,0.2,0.4,0.8,1.8,3.8
Theo Pinson,SG,25,NYK,7,0,2.4,0.1,0.9,.167,0.0,0.7,.000,0.1,0.1,1.000,.167,0.0,0.0,0,0.0,0.1,0.1,0.0,0.0,0.0,0.0,0.3,0.3
Mason Plumlee,C,30,DET,20,20,26.2,3.6,6.2,.573,0.0,0.3,.000,3.6,6.0,.597,.573,1.9,2.7,.717,2.9,5.7,8.5,3.0,1.0,0.6,2.2,3.7,9.0
Jakob Poeltl,C,25,SAS,20,3,20.2,2.5,4.4,.575,0.0,0.0,0,2.5,4.4,.575,.575,0.3,1.2,.217,3.1,3.2,6.3,2.0,0.6,1.1,1.1,2.0,5.3
Vincent Poirier,C,27,PHI,3,0,4.7,0.3,1.0,.333,0.0,0.0,0,0.3,1.0,.333,.333,0.7,1.3,.500,0.7,0.3,1.0,0.3,0.0,0.3,0.3,0.3,1.3
Aleksej Pokusevski,PF,19,OKC,16,0,17.3,1.4,5.6,.247,0.6,3.4,.185,0.8,2.2,.343,.303,0.0,0.0,0,0.3,3.3,3.6,1.3,0.5,1.1,1.3,0.9,3.4
Jordan Poole,SG,21,GSW,15,0,9.5,1.7,4.1,.426,0.9,2.6,.333,0.9,1.5,.591,.533,1.2,1.3,.947,0.1,1.1,1.2,0.9,0.2,0.1,0.5,0.9,5.5
Michael Porter Jr.,SF,22,DEN,9,4,27.0,6.4,11.6,.558,2.9,5.9,.491,3.6,5.7,.627,.683,1.4,1.8,.813,1.2,5.6,6.8,1.1,1.3,1.0,1.3,2.2,17.2
Otto Porter,SF,27,CHI,15,6,23.5,4.3,9.3,.460,1.9,4.6,.406,2.4,4.7,.514,.561,1.8,2.1,.844,1.3,5.1,6.3,2.1,0.6,0.2,1.0,1.6,12.2
Bobby Portis,C,25,MIL,19,1,21.8,4.5,8.2,.548,0.8,1.9,.444,3.6,6.3,.580,.600,0.8,1.2,.727,2.2,5.3,7.4,1.1,0.7,0.4,0.9,1.9,10.6
Kristaps Porziņģis,C,25,DAL,9,9,30.0,7.3,16.3,.449,1.8,6.2,.286,5.6,10.1,.549,.503,2.1,2.7,.792,1.9,6.1,8.0,0.9,0.2,1.6,1.0,3.3,18.6
Dwight Powell,C,29,DAL,12,6,18.6,1.5,3.2,.474,0.1,0.6,.143,1.4,2.6,.548,.487,1.8,2.8,.667,1.0,2.5,3.5,1.1,1.1,0.5,0.8,2.5,4.9
Norman Powell,SG,27,TOR,18,7,25.9,4.7,10.9,.429,2.2,5.3,.406,2.5,5.6,.450,.528,2.8,3.3,.847,0.2,2.2,2.4,1.4,1.0,0.2,1.2,1.7,14.3
Taurean Prince,PF,26,TOT,18,5,20.6,2.8,6.7,.417,1.4,3.3,.417,1.4,3.3,.417,.521,2.1,2.4,.884,0.4,2.8,3.2,1.5,0.8,0.7,1.0,1.8,9.1
Taurean Prince,PF,26,BRK,12,4,18.2,2.5,6.2,.405,1.1,3.1,.351,1.4,3.1,.459,.493,2.0,2.3,.889,0.2,2.7,2.8,0.6,0.7,0.7,0.9,1.8,8.1
Taurean Prince,PF,26,CLE,6,1,25.3,3.3,7.7,.435,2.0,3.8,.522,1.3,3.8,.348,.565,2.3,2.7,.875,0.8,3.2,4.0,3.3,1.2,0.8,1.2,1.8,11.0
Payton Pritchard,SG,23,BOS,14,0,20.9,2.9,6.0,.488,1.2,2.9,.425,1.7,3.1,.545,.589,0.6,0.7,.900,0.4,1.9,2.4,2.6,0.9,0.4,1.6,1.8,7.7
Immanuel Quickley,PG,21,NYK,16,0,18.5,3.8,9.5,.395,1.6,4.1,.379,2.2,5.4,.407,.477,2.5,2.6,.952,0.3,1.8,2.1,2.5,0.5,0.4,1.1,2.2,11.6
Jahmi'us Ramsey,SG,19,SAC,4,0,4.0,0.5,1.0,.500,0.3,0.8,.333,0.3,0.3,1.000,.625,0.0,0.0,0,0.0,1.0,1.0,0.3,0.0,0.3,0.3,0.0,1.3
Julius Randle,PF,26,NYK,20,20,36.6,7.8,16.5,.471,1.3,3.8,.347,6.5,12.7,.508,.511,5.4,6.6,.811,1.5,9.7,11.1,6.0,0.8,0.2,3.4,3.4,22.2
Cam Reddish,SF,21,ATL,15,10,28.9,4.0,10.7,.373,1.5,5.3,.291,2.5,5.5,.451,.444,2.8,3.5,.808,0.9,3.7,4.7,1.1,1.4,0.3,1.5,2.6,12.3
J.J. Redick,SG,36,NOP,16,0,19.9,2.4,7.1,.336,1.6,5.3,.298,0.8,1.8,.448,.447,1.6,1.6,1.000,0.1,1.6,1.8,1.3,0.3,0.0,0.8,1.4,7.9
Paul Reed,PF,21,PHI,5,0,11.0,1.8,4.4,.409,0.0,0.6,.000,1.8,3.8,.474,.409,0.0,0.0,0,1.4,0.6,2.0,0.6,0.2,0.8,1.0,0.8,3.6
Naz Reid,C,21,MIN,17,9,22.1,4.4,8.3,.532,1.1,2.9,.388,3.3,5.4,.609,.599,2.1,2.8,.766,1.2,3.6,4.8,1.2,0.6,1.6,1.4,3.1,12.1
Nick Richards,PF,23,CHO,5,0,2.4,0.4,0.4,1.000,0.0,0.0,0,0.4,0.4,1.000,1.000,0.2,0.4,.500,0.2,0.6,0.8,0.0,0.0,0.0,0.0,0.4,1.0
Josh Richardson,SG,27,DAL,11,11,31.3,4.5,11.0,.405,1.5,5.2,.281,3.0,5.8,.516,.471,1.5,1.6,.944,0.9,1.8,2.7,1.5,0.8,0.2,1.1,3.4,11.9
Austin Rivers,SG,28,NYK,14,2,25.8,3.9,8.3,.466,1.9,4.8,.403,1.9,3.5,.551,.582,0.1,0.3,.500,0.4,2.4,2.8,2.4,0.7,0.0,1.3,1.9,9.8
Duncan Robinson,SF,26,MIA,19,19,34.2,4.3,9.8,.433,3.4,8.4,.409,0.8,1.5,.571,.607,1.5,1.7,.879,0.1,3.9,4.0,1.7,0.4,0.4,1.6,1.9,13.5
Glenn Robinson III,SF,27,SAC,15,0,16.7,2.1,4.8,.431,0.9,2.2,.424,1.1,2.6,.436,.528,1.1,1.2,.889,0.3,1.4,1.7,1.0,0.1,0.1,0.4,0.9,6.1
Jerome Robinson,SG,23,WAS,10,3,20.1,2.0,5.9,.339,0.8,2.8,.286,1.2,3.1,.387,.407,1.3,1.5,.867,0.0,2.9,2.9,1.8,0.5,0.2,1.1,2.0,6.1
Mitchell Robinson,C,22,NYK,20,20,29.3,4.1,6.2,.659,0.0,0.0,0,4.1,6.2,.659,.659,0.8,1.7,.471,3.8,4.4,8.2,0.5,1.2,1.8,0.8,2.8,8.9
Isaiah Roby,PF,22,OKC,15,7,19.8,3.3,6.1,.543,0.5,1.6,.333,2.8,4.5,.618,.587,1.3,1.9,.714,1.7,3.1,4.8,1.3,0.5,0.4,0.8,2.7,8.5
Rajon Rondo,PG,34,ATL,10,1,14.8,1.6,3.9,.410,0.7,1.9,.368,0.9,2.0,.450,.500,0.1,0.2,.500,0.4,1.9,2.3,3.9,0.5,0.1,1.6,0.8,4.0
Derrick Rose,PG,32,DET,15,0,22.8,5.3,12.3,.429,0.9,2.6,.333,4.4,9.7,.455,.465,2.8,3.3,.840,0.4,1.5,1.9,4.2,1.2,0.3,1.9,1.1,14.2
Terrence Ross,SG,29,ORL,19,0,28.0,5.3,12.5,.426,1.9,5.4,.353,3.4,7.1,.481,.502,2.7,3.0,.895,0.3,2.5,2.8,1.9,1.2,0.4,1.6,1.8,15.2
Terry Rozier,SG,26,CHO,20,20,32.9,6.7,14.3,.469,3.2,7.4,.435,3.5,7.0,.504,.580,2.0,2.7,.736,0.6,3.4,4.0,2.8,1.3,0.5,1.7,2.0,18.6
Ricky Rubio,PG,30,MIN,16,6,23.6,2.0,5.9,.340,0.3,1.7,.185,1.7,4.2,.403,.367,1.8,2.1,.824,0.4,2.6,3.1,5.7,1.3,0.0,2.3,1.9,6.1
D'Angelo Russell,PG,24,MIN,15,14,30.3,7.2,16.9,.425,2.9,7.5,.384,4.3,9.5,.458,.510,2.8,3.7,.750,0.5,2.3,2.8,5.4,1.3,0.5,3.1,2.1,20.1
Domantas Sabonis,PF,24,IND,19,19,36.8,7.8,14.3,.548,0.9,2.5,.362,6.9,11.8,.587,.579,3.9,5.8,.682,2.9,9.3,12.2,5.8,0.8,0.4,3.4,3.5,20.5
